test,Abbr,unit,normalrange,group
KAZEB(CISH),,,"Working Days: Everyday
Days to Report: ",patho
Pap Smear MI,Calcitonin,,"Working Days: Everyday
Days to Report: ",patho
واريکوسل(سطح 2),,,"Working Days: Everyday
Days to Report: ",patho
"وازدفران،به جز عقيمي(سطح 2)",,,"Working Days: Everyday
Days to Report: ",patho
"وريد،واريکوزيتي(سطح 2)",,,"Working Days: Everyday
Days to Report: ",patho
FNA CYTOLOGY Breast,,,"Working Days: Everyday
Days to Report: ",patho
FNA CYTOLOGY other,,,"Working Days: Everyday
Days to Report: ",patho
PD-L1,,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي آنتي بادي-معده پروستات,,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي آنتي بادي-ريه,,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي آنتي بادي-کليه لنفوم,,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي آنتي بادي-رد پيوند,,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي آنتي بادي-معده پروستات,,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي آنتي بادي-ريه,,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي آنتي بادي-کليه لنفوم,,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي آنتي بادي-رد پيوند,,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(ACTH),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(AFP),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(ALK),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(AMA-cr),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Androgen Receptor),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Bcl2),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Bcl6),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Bet Catenin),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Breast2),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CA125),,,"Working Days: Everyday
Days to Report: ",patho
Calcitonin,,pg/ml,"Working Days: Everyday
Days to Report: 
Less than 11.5",patho
ايمونوهيستوشيمي(caldesmon),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CAM5.2LMW),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CATA-3),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD138),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD10),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD123),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD15),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD163),,,"Working Days: Everyday
Days to Report: ",patho
CD19,,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CA1a),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD20),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD3),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD30),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD43),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD45RO),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD68),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD7),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD34),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD4),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD5),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD56),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD79a),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CDX2),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CEA Polyclonal),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CEA-M),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(C-erb-B2),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Chomogranin A),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CK 5/2),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CK8 & 18),,,"Working Days: Everyday
Days to Report: ",patho
CK19,,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CK20),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CK5/6),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CK7),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD117),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Collagen IV),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Cycline D1),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Cytokeratin),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Desmin),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(DOG1),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(EMA),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(ER-Esterogen Receptor),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Factor VIII),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Gamma light Chain),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(GATA3),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(GCDFP-15),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(GFAP),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Hepatocyte),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Hepatocyte),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(HMB-45),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(HMWK(BE12)),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Inhibin),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Kappa light chain),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Ki67),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Lambda),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(leukocyte common antigen LCA),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Mamoglubulin),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(MDM 2),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Melan A),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(MIC2),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(MLH1),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(MS1),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(MSA),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(MSH2),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(MSH6),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Myogenin),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Napsin A),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Naspin A),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(NSE),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(P16),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(P53),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(P63),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Pan CK(AE1/AE3)),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(PAX-5),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(PAX-8),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(PC),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(PDL1),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Placental alkaline phosphatase),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(PMS2),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(PR-Progestrone Receptor),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(PSA),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Racemase),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(S100),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Smooth Muscle Actin SMA),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(TdT),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Thyroglobulin),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(TTF-1),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(Vimentin),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(WT1),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(CD31),,,"Working Days: Everyday
Days to Report: ",patho
IHC-SERIAL,,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي(D2-40),,,"Working Days: Everyday
Days to Report: ",patho
ايمونوهيستوشيمي آنتي بادي,,,"Working Days: Everyday
Days to Report: ",patho
C.B.C,CBC ,,"Working Days: Everyday
Days to Report: ",hemato
W.B.C ,WBC,,"Working Days: Sat. Sun. Mon. Thu. Wed. Teu. 
Days to Report: 4",hemato
R.B.C,RBC,,"Working Days: Everyday
Days to Report: ",hemato
Hb,Hb,,"Working Days: Everyday
Days to Report: ",hemato
Hct ,Hct,,"Working Days: Everyday
Days to Report: ",hemato
Platelet ,Platelet,10^3/ul,"Working Days: Everyday
Days to Report: 
140-450",hemato
M.C.V ,MCV(3),fl,"Working Days: Everyday
Days to Report: 
80.0-100.0",hemato
M.C.H ,MCH(3),pg,"Working Days: Everyday
Days to Report: 
27.0-34.0",hemato
M.C.H.C ,MCHC(3),g/dl,"Working Days: Everyday
Days to Report: 
32.0-36.0",hemato
RDW-CV,RDW,,"Working Days: Everyday
Days to Report: 
11.0-16.0",hemato
PDW,,,"Working Days: Everyday
Days to Report: 
9.0-17.0",hemato
MPV,,fl,"Working Days: Everyday
Days to Report: 
6.5-12.0",hemato
Band cell,Band,,"Working Days: Everyday
Days to Report: ",hemato
P-LCR,,,"Working Days: Everyday
Days to Report: ",hemato
Neutrophils,Neut,%,"Working Days: Everyday
Days to Report: ",hemato
Monocyte,Mono,%,"Working Days: Everyday
Days to Report: ",hemato
Lymphocyte,Lymph,%,"Working Days: Everyday
Days to Report: 
20-40",hemato
Eosinophil ,Eosin,%,"Working Days: Everyday
Days to Report: ",hemato
Basophil ,Baso,,"Working Days: Everyday
Days to Report: ",hemato
LUC (Atypical Cell),LUC,,"Working Days: Everyday
Days to Report: ",hemato
Blood Group ,B.Group,,"Working Days: 
Days to Report: ",hemato
Rh Factor ,Rh,,"Working Days: Everyday
Days to Report: ",hemato
ESR 1st hr,ESR 1hr,,"Working Days: 
Days to Report: ",hemato
ESR 2nd hr ,ESR 2 hr,,"Working Days: 
Days to Report: ",hemato
Leishman Body,Lishma,,"Working Days: Everyday
Days to Report: ",hemato
Trypanosoma,Tryp,,"Working Days: Everyday
Days to Report: ",hemato
L.E. Cell Preparation,LE Cell,,"Working Days: Everyday
Days to Report: ",hemato
Osmotic Fragility,c Osmotic,,"Working Days: Everyday
Days to Report: ",hemato
Beginning Of Hemolysis.,,,"Working Days: Everyday
Days to Report: ",hemato
Complate Of Hemolysis.,,,"Working Days: Everyday
Days to Report: ",hemato
Hb Electerophoresis,c Hb EP,,"Working Days: Everyday
Days to Report: ",hemato
Hb A1 (EP),HA1,,"Working Days: Everyday
Days to Report: ",hemato
Hb F (Singer Test),HbF,,"Working Days: Everyday
Days to Report: ",hemato
"S,D,G",SDG,,"Working Days: Everyday
Days to Report: ",hemato
Hb A2 (EP),HA2,,"Working Days: Everyday
Days to Report: ",hemato
Hb.Hprep.,c Hb H,,"Working Days: Everyday
Days to Report: ",hemato
Malaria,c malaria,,"Working Days: Everyday
Days to Report: ",hemato
Cryfibrinogen,P Cit Cryfibr,,"Working Days: Everyday
Days to Report: ",hemato
Cryoglobolin,s Cryoglobolin,,"Working Days: Everyday
Days to Report: ",hemato
Cold Agglutination Test,s cold Aggl,,"Working Days: Everyday
Days to Report: ",hemato
Blood Smear*,Blood SE,,"Working Days: Everyday
Days to Report: ",hemato
NBT,c NBT,,"Working Days: Everyday
Days to Report: ",hemato
Reticulocyte,c Retic,,"Working Days: Everyday
Days to Report: ",hemato
Blood Smear,Blood-S,,"Working Days: Everyday
Days to Report: ",hemato
Selenium,s Selenium,,"Working Days: Everyday
Days to Report: ",hemato
Sickel,c Sickel,,"Working Days: Everyday
Days to Report: ",hemato
PT Control,PT.C,,"Working Days: Everyday
Days to Report: ",hemato
INR,INR,,"Working Days: Everyday
Days to Report: ",hemato
Platelet,Platelet,,"Working Days: Everyday
Days to Report: ",hemato
CSF Routine ,*-CSF-Rout,,"Working Days: Everyday
Days to Report: ",hemato
Specimen ,Specimen,,"Working Days: Everyday
Days to Report: ",hemato
Color ,Color,,"Working Days: Everyday
Days to Report: ",hemato
Appearance ,App.,,"Working Days: Everyday
Days to Report: ",hemato
Total Cell ,Total Cell,,"Working Days: Everyday
Days to Report: ",hemato
W.B.C,W.B.C,,"Working Days: Everyday
Days to Report: ",hemato
Neutrophils ,Neutro.,,"Working Days: Everyday
Days to Report: ",hemato
Lymphocytes ,Lymph.,,"Working Days: Everyday
Days to Report: ",hemato
R.B.C ,R.B.C,,"Working Days: Everyday
Days to Report: ",hemato
Peritoneal Fluid Routine,*-Peritone,,"Working Days: Everyday
Days to Report: ",hemato
 Total Cell ,Tptal Cell,,"Working Days: Everyday
Days to Report: ",hemato
R.B.C...,R.B.C.,,"Working Days: Everyday
Days to Report: ",hemato
Synovial Fluid Routine ,*-Synovial,,"Working Days: Everyday
Days to Report: ",hemato
Ascitic- Routine ,*-ASC-Rout,,"Working Days: Everyday
Days to Report: ",hemato
Specimen ,Specimen,,"Working Days: Everyday
Days to Report: ",hemato
Color,Color,,"Working Days: Everyday
Days to Report: ",hemato
Appearance,App.,,"Working Days: Everyday
Days to Report: ",hemato
Total Cell ,Total Cell,,"Working Days: Everyday
Days to Report: ",hemato
W.B.C.,W.B.C.,,"Working Days: Everyday
Days to Report: ",hemato
Pleural Fluid Routine,Pleural,,"Working Days: Everyday
Days to Report: ",hemato
Neutruphils ,Neutro.,,"Working Days: Everyday
Days to Report: ",hemato
Lymphosyte ,Lymph.,,"Working Days: Everyday
Days to Report: ",hemato
R.B.C. ,R.B.C.,,"Working Days: Everyday
Days to Report: ",hemato
IL-6,il-6,pg/ml,"Working Days: Everyday
Days to Report: 
0-7",hemato
P-ANCA,P-ANCA,AU/ml,"Working Days: Everyday
Days to Report: 
Negative:<12
Borderline:12-18
Positive:>18",hemato
C-ANCA,C-ANCA,AU/ml,"Working Days: Everyday
Days to Report: 
Negative: <12
Borderline: 12-18
Positive: >18",hemato
galactommanan,,Index,"Working Days: Everyday
Days to Report: 
Up to 0.5",hemato
Anti Acetylcholin Receptor,,,"Working Days: Everyday
Days to Report: ",hemato
Thyroxin(Total T4),T4 ,ug/dl,"Working Days: 
Days to Report: 
4.89-14.1",hormon
T3,T3,nmol/l,"Working Days: 
Days to Report: 10
1.2-3",hormon
T.S.H ,TSH,mlu/L,"Working Days: 
Days to Report: 
0.3 2-5.2",hormon
T3-Uptake,T3 Up,,"Working Days: 
Days to Report: ",hormon
Free Thyroxine Index (FTI),F.T.I,,"Working Days: Everyday
Days to Report: ",hormon
Free T3 ,FT3,pg/ml,"Working Days: Everyday
Days to Report: 
Infants (1-23 month)     3.6 - 7.5
Child (2- 12y)    3.7 - 6.6
Adolescent  (13-20y)  3.1-5.9
Adult                  1.8-4.2",hormon
Free T4 ,FT4 ,ng/dl,"Working Days: 
Days to Report: 
0.9-1.7",hormon
FSH ,FSH,,"Working Days: 
Days to Report: ",hormon
LH ,LH ,,"Working Days: 
Days to Report: ",hormon
Prolactin ,Prolac,,"Working Days: 
Days to Report: ",hormon
"Macro Prolactin,PEG.recovery",M.Prolac,,"Working Days: Everyday
Days to Report: ",hormon
Prolactin Post PEG,Prolac EPG,,"Working Days: Everyday
Days to Report: ",hormon
Progesterone ,Progestro,,"Working Days: Everyday
Days to Report: ",hormon
Testosterone ,Testost,,"Working Days: 
Days to Report: ",hormon
Free Testosterone ,FreeTest,,"Working Days: 
Days to Report: ",hormon
17-OH Progesterone,17OH-Proges,ng/mL,"Working Days: 
Days to Report: 
Prepubertal child(1-10 years)= 0.2 - 0.8
Adult Man= 0.2 - 3.1
Follicular Phase(Woman)= 0.4 - 1.51
Luteal Phase(Woman)= 1 - 4.51
Postmenopausal Woman= 0.2 - 0.9",hormon
Beta HCG ,BHCG ,,"Working Days: 
Days to Report: ",hormon
Beta HCG,Beta,,"Working Days: Everyday
Days to Report: ",hormon
Beta HCG Titer,s-BHCG Tit,,"Working Days: 
Days to Report: ",hormon
VIT.D3,VIT.D3,ng/ml,"Working Days: 
Days to Report: 
Deficient:<10
Insufficient: 10-30
Sufficient:30-60
overdose,non toxic:60-80
toxic:>80",hormon
Microglobulin-Beta-2,B2mi,mg/dl,"Working Days: 
Days to Report: 
less then 1.9",hormon
pro calcitonin,pro calci,ng/ml,"Working Days: Everyday
Days to Report: 
0-0.046",hormon
Cortisol,Cor,micg/dl,"Working Days: 
Days to Report: 
3.7-19.4",hormon
calcitonin,calcitonin.,pg/ml,"Working Days: Everyday
Days to Report: 
less than 18.2",hormon
IGF-1,IGF-1,ng/ml,"Working Days: 
Days to Report: 
79 - 506",hormon
DHEA-S,DHEA-S,µg/dL,"Working Days: 
Days to Report: 
18.9-205",hormon
PTH,PTH,"pg/ml	","Working Days: 
Days to Report: 10
15-65",hormon
GH,GH,ng/ml,"Working Days: Everyday
Days to Report: 
0-7.79",hormon
Erythropoitin,EPO,,"Working Days: Everyday
Days to Report: ",hormon
Adrenocorticotropic Hormone,ACTH,,"Working Days: Everyday
Days to Report: ",hormon
Aldosterone,aldo,ng/dl,"Working Days: Everyday
Days to Report: 
2.52-39.2",hormon
Roma index ,roma,,"Working Days: Everyday
Days to Report: 
Premenopausal:>=11.3High riskof EOC <11.3Low risk of EOC",hormon
DHT,DHT,,"Working Days: Everyday
Days to Report: ",hormon
CEA,CEA,ng/ml,"Working Days: Sat. Sun. Mon. Thu. Wed. Teu. 
Days to Report: 4
Non Smoker <5",hormon
CA 19- 9,CA 19 9,U/ml,"Working Days: Everyday
Days to Report: 3
Healty people and non-pregnant :=<40",hormon
CA 15-3 ,CA 15 3,U/ml,"Working Days: Everyday
Days to Report: 
0-32",hormon
CA-125 ,CA-125,U/ml,"Working Days: Everyday
Days to Report: 
UP to 35.0",hormon
AFP,AFP,ng/ml,"Working Days: Everyday
Days to Report: 
Non pregnant women < 8.5
Men <8.5",hormon
CA 27-29,CA 27-29,,"Working Days: Everyday
Days to Report: ",hormon
Prostatic Specific Ag,PSA,ng/ml,"Working Days: Everyday
Days to Report: 
0.21-2.19",hormon
Free PSA,s Free.PSA,ng/ml,"Working Days: Everyday
Days to Report: 
=<1.3",hormon
Free PSA / Total PSA,,,"Working Days: Everyday
Days to Report: ",hormon
AFP MOM,,,"Working Days: Everyday
Days to Report: ",hormon
Hi Risk,,,"Working Days: Everyday
Days to Report: ",hormon
HE4 ,s HE4,Pmol/L,"Working Days: Everyday
Days to Report: 
Premenopausal: up to 70
Postmenopausal: up to 140
Men: Not determinded",hormon
Roma Index,s Roma,,"Working Days: Everyday
Days to Report: ",hormon
Double Marker,Dabele Marker,,"Working Days: Everyday
Days to Report: ",hormon
Tripel Marcer,Tripel Marker,,"Working Days: Everyday
Days to Report: ",hormon
Quad Marcer,Coad Marker,,"Working Days: Everyday
Days to Report: ",hormon
Free Beta,Free Beta,,"Working Days: Everyday
Days to Report: ",hormon
PAPP-A,PAPP-A,,"Working Days: Everyday
Days to Report: ",hormon
U E3,UE3,,"Working Days: Everyday
Days to Report: ",hormon
Inhibin . A,s-Inhibin,pg/ml,"Working Days: Everyday
Days to Report: 
F(Fol phase): 5.3-115
F(Mid cycle): 90-151
F(Lut phase): 5.9-213
Postmenopausal: up to 5.24",hormon
A.F.P,A.F.P,,"Working Days: Everyday
Days to Report: ",hormon
Beta HCG .Titer,Beta Titer,,"Working Days: Everyday
Days to Report: ",hormon
Free Beta HCG,Free Beta,,"Working Days: Everyday
Days to Report: ",hormon
feee cortisol 24,Free cortisol24,micg/24hrs,"Working Days: Everyday
Days to Report: 
1.5 - 63",hormon
Sars covid 19 (IgG),Coid IgG,,"Working Days: Everyday
Days to Report: ",hormon
Sars covid 19 (IgM),Coid IgM,,"Working Days: Everyday
Days to Report: ",hormon
Food Allergens Test,Food Aler,,"Working Days: Everyday
Days to Report: ",hormon
Anti Histon,s Histon,,"Working Days: Everyday
Days to Report: ",hormon
Covid-19 Neutralization,Covid Neut,,"Working Days: Everyday
Days to Report: ",hormon
Leptin,s Leptin,,"Working Days: Everyday
Days to Report: ",hormon
Panel Reactive Ab (Fellow),s Panel,,"Working Days: Everyday
Days to Report: ",hormon
Interleukin-6,s IL6,pg/ml,"Working Days: Everyday
Days to Report: 
0-7",hormon
HLA B5,c HLA B5,,"Working Days: Everyday
Days to Report: ",hormon
HLA B27,c HLA B27,,"Working Days: Everyday
Days to Report: ",hormon
HLA B51,c HLA B51,,"Working Days: Everyday
Days to Report: ",hormon
HLA B52,c HLA B52,,"Working Days: Everyday
Days to Report: ",hormon
HLA B8,c HLA B8,,"Working Days: Everyday
Days to Report: ",hormon
IGG4,s IGG4,,"Working Days: Everyday
Days to Report: ",hormon
B2-Glycoprotein (IgA),B2IGA,,"Working Days: 
Days to Report: ",hormon
IL-6,il-6,pg/ml,"Working Days: Everyday
Days to Report: 
0-7",hormon
P-ANCA,P-ANCA,AU/ml,"Working Days: Everyday
Days to Report: 
Negative:<12
Borderline:12-18
Positive:>18",hormon
C-ANCA,C-ANCA,AU/ml,"Working Days: Everyday
Days to Report: 
Negative: <12
Borderline: 12-18
Positive: >18",hormon
galactommanan,,Index,"Working Days: Everyday
Days to Report: 
Up to 0.5",hormon
Anti Acetylcholin Receptor,,,"Working Days: Everyday
Days to Report: ",hormon
"بررسي تکرارهاي ژنومي-STR
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي تکرارهاي ژنومي
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين نوع DNA  
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين جهش با روش pCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"Factor V  leiden (PCR) 
",,,"Working Days: Everyday
Days to Report: ",genetic
"G20210 ( Factor II) PCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"PAI- 1  (PCR)
",,,"Working Days: Everyday
Days to Report: ",genetic
"Factor XIII  (PCR)
",,,"Working Days: Everyday
Days to Report: ",genetic
"Qualitative RT-PCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"انجام PCR براي ژنتيک پزشکي
",,,"Working Days: Everyday
Days to Report: ",genetic
"کيفي براي ساير عوامل PCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"Turation Electrophores  
",,,"Working Days: Everyday
Days to Report: ",genetic
"Mutation Detection- Gradient Dena Gel  
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي يک آمپليکن
",,,"Working Days: Everyday
Days to Report: ",genetic
"HCV-RT-PCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"bcr-abl RT-PCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"HIV-RT-PCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"Measles RNA PCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"Rubella RT-PCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"RSV RNA (RT-PCR)
",,,"Working Days: Everyday
Days to Report: ",genetic
"HDV/RT/PCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"Mumps RNA (RT PCR)
",,,"Working Days: Everyday
Days to Report: ",genetic
"P.R.G.A  DNA PCR (RFLP)
",,,"Working Days: Everyday
Days to Report: ",genetic
"bcr-abl RT PCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"Minimal Residal Disease
",,,"Working Days: Everyday
Days to Report: ",genetic
"t(12:21):ETV6(TEL) RNA
",,,"Working Days: Everyday
Days to Report: ",genetic
"t(1:19)E2A(TCF3)-PBX1 RNA
",,,"Working Days: Everyday
Days to Report: ",genetic
"t(4:11)MLL-AF4 RNA
",,,"Working Days: Everyday
Days to Report: ",genetic
"FLP1L1-PDGFRA RNA
",,,"Working Days: Everyday
Days to Report: ",genetic
"FLT3 DNA PCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR RNA
",,,"Working Days: Everyday
Days to Report: ",genetic
استفاده ازPcR کمي براي تعيين بار ساير عوامل بيماري,,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCRکمي 
",,,"Working Days: Everyday
Days to Report: ",genetic
"EBV PCR-Q
",,,"Working Days: Everyday
Days to Report: ",genetic
"CMV-PCR-Q
",,,"Working Days: Everyday
Days to Report: ",genetic
"Minimal Residul DiseaseQ
",,,"Working Days: Everyday
Days to Report: ",genetic
"HCV Genotyping PCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"HBV PCR (Quantitative)
",,,"Working Days: Everyday
Days to Report: ",genetic
"HCV RNA(Quantitative)
",,,"Working Days: Everyday
Days to Report: ",genetic
"HIV Quantitative
",,,"Working Days: Everyday
Days to Report: ",genetic
"bcr-abl Quantitative RT PCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"HBV Genotyping PCR
",,,"Working Days: Everyday
Days to Report: ",genetic
"HDV RNA PCR Q
",,,"Working Days: Everyday
Days to Report: ",genetic
"PCR Interpertation 
",,,"Working Days: Everyday
Days to Report: ",genetic
"PCR Interpretaion
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCRکمي براي ژنتيک پزشکي
",,,"Working Days: Everyday
Days to Report: ",genetic
"pCRکيفي
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR کيفي براي ساير عوامل بيماري زا
",,,"Working Days: Everyday
Days to Report: ",genetic
"HlAA BDR
",,,"Working Days: Everyday
Days to Report: ",genetic
"HLA ABC
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين پرايمر براي DQBi.DQAL.hLA
",,,"Working Days: Everyday
Days to Report: ",genetic
